Configuration,SART_mean,SART_median,SART_std,Demand (Rounded)_mean,Demand (Rounded)_median,Demand (Rounded)_std,Supply (Rounded)_mean,Supply (Rounded)_median,Supply (Rounded)_std,Understanding (Rounded)_mean,Understanding (Rounded)_median,Understanding (Rounded)_std
AA,5.857142857142857,6.0,0.6900655593423541,3.0,3.0,0.816496580927726,3.7142857142857144,4.0,0.7559289460184544,5.142857142857143,5.0,0.6900655593423541
AH,5.142857142857143,5.0,1.3451854182690985,3.7142857142857144,3.0,1.1126972805283735,4.285714285714286,4.0,0.7559289460184544,4.571428571428571,4.0,1.1338934190276817
HA,4.571428571428571,5.0,2.370453040886408,4.142857142857143,4.0,1.3451854182690985,4.285714285714286,4.0,0.7559289460184543,4.428571428571429,4.0,1.2724180205607036
HH,4.857142857142857,5.0,2.193062655175134,3.5714285714285716,4.0,1.3972762620115438,4.0,4.0,0.0,4.428571428571429,5.0,1.1338934190276817
