Subject_ac,Timestamp,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Aplication_ac,EntId_ac,Site_ac,ExersiseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,EcefX_ac,EcefY_ac,EcefZ_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Apperance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Subject_cm,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Aplication_cm,EntId_cm,Site_cm,ExersiseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,EcefX_cm,EcefY_cm,EcefZ_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Apperance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,Intercept_Criteria
1,1970-07-23 09:33:42.671120439,2025-09-08,2025-09-11 20:11:07.112,HH,B,460077080,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147261.421570923,-4792359.38808263,4196933.739046875,2.33304,2.86547,-0.263482,-108.091,30.1327,28.2131,-0.0991514,-7.33265,6.83229,-0.00851899,0.00411854,-0.00757857,4,0,41.38774264763607,-91.76005243330738,10456.756926878135,-69.48308301033349,-0.2171001348754715,0.3736558450043186,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.026,HH,B,3014050036,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170845.47448904935,-4793851.516572799,4195064.324675083,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36159509568683,-92.04106938647388,11999.99938656999,83.90250967325063,-0.003625299773394,0.0057514384735623,10000,12000,150,True,12.751981360504507,False,154.4652097917052,178.37225488699298,False,False
1,1970-07-23 09:33:42.673454937,2025-09-08,2025-09-11 20:11:07.345,HH,B,460355448,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147287.47602957403,-4792351.973017869,4196940.659766153,2.33413,2.86276,-0.262501,-108.209,30.2125,28.3695,-0.20796,-7.44774,6.86369,-0.00249567,-0.00340489,0.0053024,4,0,41.38782871303323,-91.76036635948311,10455.495558691982,-69.42140917416724,-0.3644415412725028,0.3958560839270654,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.026,HH,B,3014050036,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170845.47448904935,-4793851.516572799,4195064.324675083,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36159509568683,-92.04106938647388,11999.99938656999,83.90250967325063,-0.003625299773394,0.0057514384735623,10000,12000,150,True,12.738588799031017,False,154.40755671556943,178.35065493942295,False,False
1,1970-07-23 09:33:42.674454623,2025-09-08,2025-09-11 20:11:07.445,HH,B,460474746,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147297.20985627186,-4792349.241631673,4196943.204308408,2.33375,2.86279,-0.26273,-108.23,30.2156,28.4023,-0.0693634,-7.3448,6.86656,-0.00767427,0.00443063,0.00256225,4,0,41.38786035854129,-91.76048362682803,10455.031048554012,-69.41299360468868,-0.3541931949877506,0.3744342906927929,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.026,HH,B,3014050036,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170845.47448904935,-4793851.516572799,4195064.324675083,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36159509568683,-92.04106938647388,11999.99938656999,83.90250967325063,-0.003625299773394,0.0057514384735623,10000,12000,150,True,12.73358320378295,False,154.39903077826781,178.34259327459483,False,False
1,1970-07-23 09:33:42.675121225,2025-09-08,2025-09-11 20:11:07.512,HH,B,460554280,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147305.512481287,-4792346.917639995,4196945.379139718,2.33352,2.86302,-0.262843,-108.249,30.0869,28.5374,-0.15042,-7.50484,6.82935,-0.000435885,-0.000681395,-0.000818714,4,0,41.387887346433466,-91.76058364987657,10454.658716015814,-69.41704529258533,-0.3404625832291543,0.3644790498452437,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.026,HH,B,3014050036,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170845.47448904935,-4793851.516572799,4195064.324675083,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36159509568683,-92.04106938647388,11999.99938656999,83.90250967325063,-0.003625299773394,0.0057514384735623,10000,12000,150,True,12.729314056095403,False,154.395505390451,178.3356954606267,False,False
1,1970-07-23 09:33:42.679120885,2025-09-08,2025-09-11 20:11:07.912,HH,B,461031480,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147348.1141088389,-4792335.013476593,4196956.570729662,2.33156,2.86314,-0.264644,-108.352,30.1932,28.5815,-0.170885,-7.44633,6.8171,-0.00176538,-0.00208788,0.0084545,4,0,41.38802591907882,-91.76109687231872,10452.869335658515,-69.34696507645755,-0.2643101814109638,0.2537201905097053,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.026,HH,B,3014050036,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170845.47448904935,-4793851.516572799,4195064.324675083,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36159509568683,-92.04106938647388,11999.99938656999,83.90250967325063,-0.003625299773394,0.0057514384735623,10000,12000,150,True,12.707415404541328,False,154.3658243805324,178.2998461337063,False,False
1,1970-07-23 09:33:42.683121130,2025-09-08,2025-09-11 20:11:08.312,HH,B,461508680,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147392.2726179221,-4792322.806816999,4196968.116852606,2.32885,2.86411,-0.265783,-108.497,30.0126,28.8253,-0.227648,-7.41624,6.96247,0.000130037,0.00714996,-0.00196304,4,0,41.38816839747288,-91.76162880423742,10451.22364031179,-69.33679943279282,-0.1799373804517756,0.1128858593912835,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.955,HH,B,3015243082,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170748.195436315,-4793848.123018111,4195072.110807896,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.3616884486355,-92.03990963083425,11999.999499621188,83.90327605081474,-0.0027498495021538,0.0057518085569083,10000,12000,150,True,12.632184912578566,False,154.3625959656354,178.25497042469956,False,False
1,1970-07-23 09:33:42.687120107,2025-09-08,2025-09-11 20:11:08.712,HH,B,461985878,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147434.96872357727,-4792310.933741438,4196979.409160341,2.32293,2.86546,-0.266047,-108.597,30.0903,28.845,-0.192303,-7.43189,6.90965,-0.0227523,-0.00964044,-0.000319371,4,0,41.38830744335367,-91.76214314834884,10449.738544346332,-69.37727371669331,-0.1149297996928793,-0.2057549676535253,10000,12000,150,1,2025-09-08,2025-09-11 20:11:07.955,HH,B,3015243082,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170748.195436315,-4793848.123018111,4195072.110807896,-2.29541,0.0348981,-0.079767,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.3616884486355,-92.03990963083425,11999.999499621188,83.90327605081474,-0.0027498495021538,0.0057518085569083,10000,12000,150,True,12.610260557239839,False,154.34972406997682,178.21737066448975,False,False
1,1970-07-23 09:33:42.691118012,2025-09-08,2025-09-11 20:11:09.111,HH,B,462463078,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147479.1559968709,-4792298.676683039,4196991.131453225,2.30953,2.8668,-0.268306,-108.695,29.9161,29.0512,0.0192084,-7.31385,6.69972,-0.0289275,0.00951976,0.0110532,4,0,41.38845140089214,-91.76267544710733,10448.355429486322,-69.33423207787615,0.0281725000112761,-0.9533761560890672,10000,12000,150,1,2025-09-08,2025-09-11 20:11:09.020,HH,B,3016436128,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170650.91638358062,-4793844.728486861,4195079.895964146,-2.29541,0.0348981,-0.0796711,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36178178910299,-92.0387498722953,11999.999987370848,83.90815511261873,-0.0055159485468221,0.0057519126021072,10000,12000,150,True,12.535048819692824,False,154.348648369171,178.17013969172518,False,False
1,1970-07-23 09:33:42.692454840,2025-09-08,2025-09-11 20:11:09.245,HH,B,462622144,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147492.56232421024,-4792294.957039936,4196994.687296788,2.3044,2.86776,-0.268725,-108.738,30.0041,28.9728,-0.185147,-7.44383,6.98055,-0.03374,0.0111676,-0.00361087,4,0,41.38849507747992,-91.7628369462504,10447.932399244111,-69.35321402494971,0.083394989289815,-1.2324929062423406,10000,12000,150,1,2025-09-08,2025-09-11 20:11:09.020,HH,B,3016436128,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170650.91638358062,-4793844.728486861,4195079.895964146,-2.29541,0.0348981,-0.0796711,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36178178910299,-92.0387498722953,11999.999987370848,83.90815511261873,-0.0055159485468221,0.0057519126021072,10000,12000,150,True,12.528170543731315,False,154.3566361412685,178.1578971435605,False,False
1,1970-07-23 09:33:42.693123503,2025-09-08,2025-09-11 20:11:09.312,HH,B,462701678,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147501.0488185991,-4792292.793993162,4196996.74450293,2.30006,2.867,-0.269238,-108.825,29.8221,29.0405,-0.046009,-7.43015,6.77687,-0.0295871,0.0128404,0.00461164,4,0,41.3885202783097,-91.76293910837931,10447.71576373088,-69.30290707490809,0.0728399495515263,-1.4929795758091802,10000,12000,150,1,2025-09-08,2025-09-11 20:11:09.020,HH,B,3016436128,JASSM,3,123,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170650.91638358062,-4793844.728486861,4195079.895964146,-2.29541,0.0348981,-0.0796711,97.25,3.375,7.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36178178910299,-92.0387498722953,11999.999987370848,83.90815511261873,-0.0055159485468221,0.0057519126021072,10000,12000,150,True,12.523801289189748,False,154.4035867968848,178.15062144477199,False,False
