Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Proportion_CMs_Intercepted,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_MOP_Time_to_Consent_s,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_Offset_at_Intercept_ft,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_MOP_Time_to_Consent_s,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_Offset_at_Intercept_ft,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_MOP_Time_to_Consent_s,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_Offset_at_Intercept_ft,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_MOP_Time_to_Consent_s,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_Offset_at_Intercept_ft,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,CM5_Interceptor Role,CM5_Time_to_Intercept_s_from_start,CM5_MOP_Time_to_Intercept_s,CM5_MOP_Time_to_Consent_s,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_Offset_at_Intercept_ft,CM5_Distance_from_CM_at_Intercept_nm,CM5_Aspect_at_MELD_Range_deg,Proportion_SAMs_Identified,SAM1_Time_to_ID_s,SAM2_Time_to_ID_s,SAM3_Time_to_ID_s,SAM4_Time_to_ID_s,SAM5_Time_to_ID_s,SAM6_Time_to_ID_s,SAM7_Time_to_ID_s,SAM8_Time_to_ID_s,SAM9_Time_to_ID_s,SAM10_Time_to_ID_s,Scenario_Duration_s,Avg_SAM_ID_Time_s
1,Grimmer,2,D,HH,21,Y,6,3,2,65.88319895222345,8.812983858846284,0.3333333333333333,Wingman,157.326,53.117,5.122,21.81899999999999,12.812244856726268,192.36212551252535,1.1445373972538953,169.80538468966586,Lead,245.121,71.851,5.553,45.404,11.27272694900762,368.55414729102085,1.4213615686848604,134.90326678264034,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.27,13.213,26.222,30.0,8.266,,,,,,390.761,19.5942
1,Grimmer,3,C,AA,3,Y,5,0,0,0.0,0.0,0.8,Wingman,190.308,41.518,4.203,23.920999999999992,-17.97948821193694,88.39694515356678,0.9229633073092856,128.41338395882246,Lead,283.404,34.968,1.671,35.13900000000001,-28.21652188237681,85.9220075420053,0.4818073798335819,162.1908238669888,Wingman,347.954,48.966,6.076,39.16,9.858426380416091,45.79701987249064,0.8742422727919867,138.48108897153838,Lead,348.905,43.006,5.674,22.099999999999994,-27.615873039690825,82.49169386339963,0.6139275712573629,88.01703085713899,,,,,,,,,,0.6666666666666666,30.0,21.162,30.0,10.266,21.263,17.272,,,,,348.905,21.660500000000003
2,Fleischmann,1,C,AH,16,Y,5,0,0,0.0,0.0,1.0,Wingman,142.501,35.626,0.424,48.26400000000001,-42.44043104446297,116.95452624447898,1.0248649512927712,179.5016842960714,Lead,152.392,67.029,24.83,3.842999999999989,-2.7384887887658635,25.17173732111405,0.7142125515546055,164.1241644936731,Wingman,294.802,49.011,6.917,43.48599999999999,2.8579877329418366,88.69661291387456,0.9965122186511304,174.04548514723575,Lead,320.604,47.979,12.746,7.497000000000014,-5.228896938067322,29.21019694521601,0.6166763083385414,178.63231311520644,Wingman,409.79,49.084,11.898,53.506,5.935786585950353,75.05232237253585,1.2410021741809978,71.88878776752719,1.0,30.0,27.168,14.067,30.0,18.166,14.16,,,,,409.79,22.260166666666667
2,Fleischmann,2,C,AA,4,Y,5,0,0,0.0,0.0,0.8,Lead,121.485,47.986,4.451,22.723000000000013,1.715480636527673,179.2379544277046,0.752524097022637,154.00707349950585,Wingman,182.182,95.612,26.702,1.179000000000002,7.275182557236803,1.4834362190231332,1.0417292619033964,155.89077259765287,Lead,305.367,34.204,3.438,34.149,43.73747036740736,2.964239679484308,0.97076462600053,137.34732361262795,Wingman,349.791,53.472,1.412,10.355999999999996,-25.42201115130419,74.63906177777972,0.5995872480023305,138.1689511383786,,,,,,,,,,1.0,10.953,28.511,30.0,11.047,22.782,,,,,,387.358,20.6586
2,Fleischmann,3,D,AA,5,Y,6,0,0,0.0,0.0,0.1666666666666666,Wingman,407.148,47.99,5.694,9.293000000000006,-14.288354145998454,117.24524293122886,0.5719695105696979,135.02097108571274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333333333334,16.071,15.08,30.0,13.081,30.0,21.079,,,,,433.641,20.885166666666667
2,Schnell,1,C,HA,8,Y,5,3,0,185.5457058761419,0.0,0.8,Wingman,150.073,51.352,0.387,-150.0,24.08537710306416,82.6070960884008,0.7959603873512072,145.24292392497347,Wingman,327.68,67.793,29.562,-150.0,-1.4034522443994888,49.29281012264073,0.5931079147172873,119.46447553382508,Lead,381.847,84.822,7.154,-150.0,-23.55110357363634,124.2628330443822,0.3970989768883383,169.61517851863414,Wingman,423.9,125.782,27.714,-150.0,8.062439847901516,33.100253761986096,0.8660279049961546,9.5950732506831,,,,,,,,,,0.1666666666666666,30.0,30.0,30.0,30.0,10.788,30.0,,,,,423.9,26.798000000000002
2,Schnell,2,C,AA,17,Y,5,0,1,0.0,9.419252320254072,0.8,Wingman,202.06,60.09,2.483,-150.0,-35.82463929944072,74.39807367870526,0.4781839550108538,135.18586633040775,Lead,348.63,35.166,5.167,-150.0,38.88295070204171,204.62299104020167,0.9277590015448576,134.19287262893477,Wingman,389.274,60.507,19.101,-150.0,0.6072759832423742,33.04203422546016,0.5307407752592931,137.38165215577249,Lead,419.875,55.18,2.215,-150.0,11.871658484437262,285.5271830145375,1.4426564060445737,35.90831988602176,,,,,,,,,,0.5,30.0,15.693,8.764,11.775,30.0,30.0,,,,,419.875,21.038666666666668
2,Schnell,3,C,AA,17,Y,5,0,1,0.0,9.419252320254072,0.8,Wingman,202.06,60.09,2.483,-150.0,-35.82463929944072,74.39807367870526,0.4781839550108538,135.18586633040775,Lead,348.63,35.166,5.167,-150.0,38.88295070204171,204.62299104020167,0.9277590015448576,134.19287262893477,Wingman,389.274,60.507,19.101,-150.0,0.6072759832423742,33.04203422546016,0.5307407752592931,137.38165215577249,Lead,419.875,55.18,2.215,-150.0,11.871658484437262,285.5271830145375,1.4426564060445737,35.90831988602176,,,,,,,,,,0.6666666666666666,30.0,30.0,30.0,30.0,30.0,30.0,,,,,419.875,30.0
3,Chan,1,C,AH,30,Y,5,1,0,22.1173549936816,0.0,1.0,Lead,170.432,70.599,4.068,10.967000000000011,19.081921062487368,11.1097728464174,0.4282107776791902,141.27430883433897,Wingman,182.718,65.714,4.308,0.2379999999999995,-32.32168077780125,15.04507948135324,0.9335163347196336,157.716989981611,Wingman,320.431,38.228,3.432,33.0,24.375305997473475,82.14701241860348,0.7110370311016572,132.00542365456124,Lead,342.546,46.585,0.816,45.77099999999999,-5.957379682311171,647.0818211271635,0.704510376865201,150.51863988314898,Wingman,420.007,54.982,4.102,7.9979999999999905,19.59971556893956,34.90250176493646,0.876507173879764,94.39954432353044,1.0,24.274,15.972,10.08,17.063,10.913,15.057,,,,,420.007,15.559833333333332
3,Chan,2,C,AA,5,Y,5,0,0,0.0,0.0,1.0,Lead,150.182,66.384,2.652,5.711999999999989,30.6379232094514,7.366226791551526,0.4820233226333709,162.48170826248293,Wingman,161.18,46.399,4.2,4.454000000000008,-5.759223469224509,177.45965559635624,0.5650329269310412,135.19623531791694,Lead,338.495,68.789,1.624,2.1200000000000045,22.410890518570117,20.57740561209357,1.0422349924095595,153.76828622500443,Wingman,347.925,62.045,3.64,-2.4509999999999934,-29.213620545232004,114.79127996053649,0.6245631419087779,128.409107789593,Lead,398.766,55.829,3.798,4.27000000000001,-11.651464099272944,214.76726940280787,0.6796916270554879,38.392861355468966,1.0,28.155,19.051,23.694,30.0,14.783,24.62,,,,,398.766,23.38383333333333
