Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Correct_Sort,Num_CMs,Lead_Altitude_MSL_ft,Wingman_Altitude_MSL_ft,CM_Airspeed_kt,Scenario_Start_Time,Scenario_End_Time,Scenario_Duration_s,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Total_CMs_Intercepted,Proportion_CMs_Intercepted,CM1_EntId,CM1_Interceptor Role,CM1_Time_to_Intercept_s,CM1_Time_to_Consent_s,CM1_Airspeed_at_Intercept_kt,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_at_Intercept_deg,CM1_CM_Heading_at_Intercept_deg,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_at_Intercept_ft,CM1_Altitude_Offset_at_Intercept_ft,CM1_Bank_Angle_at_Intercept_deg,CM2_EntId,CM2_Interceptor Role,CM2_Time_to_Intercept_s,CM2_Time_to_Consent_s,CM2_Airspeed_at_Intercept_kt,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_at_Intercept_deg,CM2_CM_Heading_at_Intercept_deg,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_at_Intercept_ft,CM2_Altitude_Offset_at_Intercept_ft,CM2_Bank_Angle_at_Intercept_deg,Num_SAMs,SAMs_Identified_by_Lead,Proportion_SAMs_Identified,CM3_EntId,CM3_Interceptor Role,CM3_Time_to_Intercept_s,CM3_Time_to_Consent_s,CM3_Airspeed_at_Intercept_kt,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_at_Intercept_deg,CM3_CM_Heading_at_Intercept_deg,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_at_Intercept_ft,CM3_Altitude_Offset_at_Intercept_ft,CM3_Bank_Angle_at_Intercept_deg,CM4_EntId,CM4_Interceptor Role,CM4_Time_to_Intercept_s,CM4_Time_to_Consent_s,CM4_Airspeed_at_Intercept_kt,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_at_Intercept_deg,CM4_CM_Heading_at_Intercept_deg,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_at_Intercept_ft,CM4_Altitude_Offset_at_Intercept_ft,CM4_Bank_Angle_at_Intercept_deg,CM5_EntId,CM5_Interceptor Role,CM5_Time_to_Intercept_s,CM5_Time_to_Consent_s,CM5_Airspeed_at_Intercept_kt,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_at_Intercept_deg,CM5_CM_Heading_at_Intercept_deg,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_at_Intercept_ft,CM5_Altitude_Offset_at_Intercept_ft,CM5_Bank_Angle_at_Intercept_deg
1,Jacob,1,A,HH,Y,4,11336.471106829373,12851.681693794117,150,2025-09-11 19:59:27.499,2025-09-11 20:05:33.012,365.513,1,0,930.9420636174443,0.0,2,0.5,112,Wingman,229.245,135.968,162.177,12.176999999999992,-40.67520767498875,-80.01728733257016,39.34207965758142,12776.332030381973,75.34966341214385,-21.23805938585488,113.0,Lead,305.758,8.092,198.74,48.74000000000001,96.21212040443312,100.05142850641992,-3.839308101986802,9872.330496451938,1464.1406103774352,-42.356704413394304,6,5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jacob,2,B,HH,Y,5,10456.756926878135,13162.46325448802,150,2025-09-11 20:11:06.778,2025-09-11 20:20:32.295,565.517,4,1,865.738970890664,5.546568855076657,5,1.0,122,Wingman,131.544,13.208,190.345,40.345,142.8768527775334,155.97704228102145,-13.100189503488053,12977.972309643268,184.49094484475245,40.765533064167336,123.0,Lead,146.288,4.175,169.265,19.264999999999986,126.58765159777096,84.01840500824302,42.56924658952795,11085.856981498167,629.1000546200321,-32.40224362481974,8,6,0.75,128.0,Lead,448.255,0.0,186.703,36.703,-31.408510940428283,-60.15398571989556,28.745474779467287,10852.202197209468,395.4452703313327,-33.33769117340705,127.0,Wingman,460.932,2.003,168.764,18.76400000000001,-63.812919598025374,-80.04918933926415,16.23626974123877,13135.685520906727,26.777733581293433,8.819987456905377,129.0,Lead,517.735,2.722,173.799,23.799000000000007,-57.31379536340577,-40.22973854972481,-17.084056813680945,10873.297968931884,416.54104205374824,42.16341010213475
1,Jacob,3,A,HA,Y,4,11234.154333429517,13311.964484051983,150,2025-09-11 20:25:21.724,2025-09-11 20:30:17.346,295.622,1,0,109.00020406939848,0.0,1,0.25,136,Lead,274.612,0.516,163.753,13.752999999999986,128.0880522502422,100.02586033832544,28.062191911916784,10509.68649574806,724.4678376814572,-12.047231754233866,,,,,,,,,,,,,5,4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
