Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_MSL_ft,Wingman_Altitude_MSL_ft,CM_Airspeed_kt,Scenario_Start_Time,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Total_CMs_Intercepted,Proportion_CMs_Intercepted,CM1_EntId,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_Airspeed_at_Intercept_kt,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_at_Intercept_deg,CM1_CM_Heading_at_Intercept_deg,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_at_Intercept_ft,CM1_Altitude_Offset_at_Intercept_ft,CM1_Bank_Angle_at_Intercept_deg,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_EntId,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_Airspeed_at_Intercept_kt,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_at_Intercept_deg,CM2_CM_Heading_at_Intercept_deg,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_at_Intercept_ft,CM2_Altitude_Offset_at_Intercept_ft,CM2_Bank_Angle_at_Intercept_deg,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_EntId,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_Airspeed_at_Intercept_kt,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_at_Intercept_deg,CM3_CM_Heading_at_Intercept_deg,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_at_Intercept_ft,CM3_Altitude_Offset_at_Intercept_ft,CM3_Bank_Angle_at_Intercept_deg,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_EntId,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_Airspeed_at_Intercept_kt,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_at_Intercept_deg,CM4_CM_Heading_at_Intercept_deg,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_at_Intercept_ft,CM4_Altitude_Offset_at_Intercept_ft,CM4_Bank_Angle_at_Intercept_deg,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,CM5_EntId,CM5_Interceptor Role,CM5_Time_to_Intercept_s_from_start,CM5_MOP_Time_to_Intercept_s,CM5_Airspeed_at_Intercept_kt,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_at_Intercept_deg,CM5_CM_Heading_at_Intercept_deg,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_at_Intercept_ft,CM5_Altitude_Offset_at_Intercept_ft,CM5_Bank_Angle_at_Intercept_deg,CM5_Distance_from_CM_at_Intercept_nm,CM5_Aspect_at_MELD_Range_deg,Scenario_End_Time,Scenario_Duration_s,Num_SAMs,SAMs_Identified_by_Lead,Proportion_SAMs_Identified,SAM1_EntId,SAM1_Time_to_ID_s,SAM2_EntId,SAM2_Time_to_ID_s,SAM3_EntId,SAM3_Time_to_ID_s,SAM4_EntId,SAM4_Time_to_ID_s,SAM5_EntId,SAM5_Time_to_ID_s,SAM6_EntId,SAM6_Time_to_ID_s
4,Schnell,1,C,HH,14.0,Y,5,9001.267247400965,11068.098492074974,150,2025-09-16 15:28:01.581,2,0,269.79864660897084,0.0,5,1.0,102,Lead,169.431,61.802,221.593,71.59299999999999,122.8363437359986,119.94995386769202,2.886389868306594,8512.373083766046,488.8941636349191,-0.2250234862917056,1.4771748245188763,163.8184178519625,101,Wingman,240.028,120.527,155.419,5.419000000000011,-173.6637088289052,156.01073521023474,30.325555960860072,11092.802421942211,24.703929867237093,-15.46249596393308,0.7201156055899087,124.89474787936163,103,Wingman,403.859,40.827,170.23,20.22999999999999,-166.76997877216067,140.02549573082203,53.2045254970173,11104.189255276317,36.09076320134227,-25.646842760641523,0.684637219653963,136.03384431226252,105,Lead,405.238,31.503,230.135,80.13499999999999,58.93813679969701,100.11725034983692,-41.1791135501399,8933.69955250655,67.56769489441467,54.92015611305199,0.9721501970520227,117.98484554244119,104.0,Lead,422.531,15.926,232.041,82.041,99.14506393232546,120.0775212879706,-20.93245735564514,8821.866351077311,179.4008963236538,0.7510114480626366,1.4868016508323667,55.15177753127073,2025-09-16 15:35:04.112,422.531,6,1.0,0.16666666666666666,106,30,107,30,108,26.389,109,30.0,110,30,111,30
4,Schnell,2,C,HA,4.0,Y,5,9225.216264497592,11151.327114366952,150,2025-09-16 15:38:50.841,2,0,90.26518057928743,0.0,4,0.8,113,Wingman,180.023,31.141,192.642,42.641999999999996,-155.36506157399157,155.99231446197734,48.64262396403109,10859.863080671272,291.46403369568,-44.04955648318753,0.8812222632608838,123.5702073545177,114,Lead,191.48,78.712,232.163,82.16300000000001,124.94616752793608,119.95944981524016,4.986717712695906,8476.791765090305,748.4244994072869,1.7933609285981686,1.4977235296065086,169.00021188618098,116,Lead,352.805,30.851,206.904,56.903999999999996,78.02146493274681,120.034494675391,-42.01302974264419,9646.84823988697,421.63197538937675,39.85009071341295,0.7373394519536377,103.71580735507102,115,Wingman,402.577,104.012,202.688,52.68799999999999,132.04645385722037,140.02496266314003,-7.97850880591966,10949.42787520584,201.89923916111184,-42.130797275974615,0.8801302160093092,152.2788228060732,,,,,,,,,,,,,,,2025-09-16 15:46:11.734,440.893,6,1.0,0.16666666666666666,118,30,119,30,120,30.0,121,30.0,122,30,123,30
4,Schnell,3,C,AA,5.0,Y,5,9133.40005056179,11009.472056291774,150,2025-09-16 15:49:37.417,0,0,0.0,0.0,4,0.8,125,Lead,176.939,31.957,194.879,44.87899999999999,-149.13787514022212,155.98934537333562,54.872779486442255,8812.4088832212,320.9911673405895,-45.53666072881492,1.2152228447983648,133.57392625606963,127,Wingman,244.686,32.87,181.485,31.485000000000014,-167.9892988469449,139.94956981994005,52.06113133311504,10810.189398646866,199.28265764490789,-44.51935715938564,0.7362812006051761,172.73638261028162,128,Lead,296.898,36.21,180.972,30.97200000000001,159.6621269625579,119.99341234497206,39.668714617585835,8855.971231271471,277.42881929031864,-45.8154786481403,0.8450305772609582,148.51428110445138,129,Lead,379.955,70.965,154.368,4.367999999999995,96.74035854689176,100.097950503351,-3.3575919564592596,8813.81170381031,319.58834675147955,-44.16220718484151,0.7882910238610796,20.498116862031495,,,,,,,,,,,,,,,2025-09-16 15:56:20.003,402.586,6,0.0,0.0,130,30,131,30,132,30.0,133,30.0,134,30,135,30
4,Schnell,4,C,AH,14.0,Y,5,9023.624474727972,10930.733041558857,150,2025-09-16 15:59:48.904,0,0,0.0,0.0,5,1.0,138,Lead,150.415,31.659,188.805,38.80500000000001,169.67403131051702,119.93490772976875,49.73912358074827,8848.163738702782,175.46073602519027,-36.30298587764444,0.756095279026616,141.3325782269042,137,Wingman,199.607,91.232,145.948,-4.0519999999999925,-171.1212801750212,155.99784024507994,32.880879579898874,10980.579815239513,49.84677368065604,0.407477400820912,0.4818857275980489,118.57574496283335,141,Lead,356.001,72.792,159.317,9.317000000000007,125.31916636002894,100.0783659086504,25.24080045137856,9016.841844120288,6.782630607684041,-7.010270228372885,1.215968304342166,161.04716798940387,139,Wingman,358.205,34.55,191.763,41.763000000000005,171.7837378489005,140.00208415924146,31.781653689659038,10907.944025954695,22.78901560416125,-26.56130692310767,1.1035031797371526,97.0943214143037,140.0,Lead,422.731,16.361,180.312,30.312000000000012,99.94766855714636,120.07411892861536,-20.12645037146899,8952.582201632105,71.04227309586713,-0.0435020307495349,1.4921822817665684,28.53299630495091,2025-09-16 16:06:51.635,422.731,6,3.0,0.5,142,30,143,30,144,10.485,145,25.046,146,30,147,30
