Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_MSL_ft,Wingman_Altitude_MSL_ft,CM_Airspeed_kt,Scenario_Start_Time,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Total_CMs_Intercepted,Proportion_CMs_Intercepted,CM1_EntId,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_Airspeed_at_Intercept_kt,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_at_Intercept_deg,CM1_CM_Heading_at_Intercept_deg,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_at_Intercept_ft,CM1_Altitude_Offset_at_Intercept_ft,CM1_Bank_Angle_at_Intercept_deg,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_EntId,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_Airspeed_at_Intercept_kt,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_at_Intercept_deg,CM2_CM_Heading_at_Intercept_deg,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_at_Intercept_ft,CM2_Altitude_Offset_at_Intercept_ft,CM2_Bank_Angle_at_Intercept_deg,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_EntId,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_Airspeed_at_Intercept_kt,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_at_Intercept_deg,CM3_CM_Heading_at_Intercept_deg,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_at_Intercept_ft,CM3_Altitude_Offset_at_Intercept_ft,CM3_Bank_Angle_at_Intercept_deg,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_EntId,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_Airspeed_at_Intercept_kt,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_at_Intercept_deg,CM4_CM_Heading_at_Intercept_deg,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_at_Intercept_ft,CM4_Altitude_Offset_at_Intercept_ft,CM4_Bank_Angle_at_Intercept_deg,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,CM5_EntId,CM5_Interceptor Role,CM5_Time_to_Intercept_s_from_start,CM5_MOP_Time_to_Intercept_s,CM5_Airspeed_at_Intercept_kt,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_at_Intercept_deg,CM5_CM_Heading_at_Intercept_deg,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_at_Intercept_ft,CM5_Altitude_Offset_at_Intercept_ft,CM5_Bank_Angle_at_Intercept_deg,CM5_Distance_from_CM_at_Intercept_nm,CM5_Aspect_at_MELD_Range_deg,Scenario_End_Time,Scenario_Duration_s,Num_SAMs,SAMs_Identified_by_Lead,Proportion_SAMs_Identified,SAM1_EntId,SAM1_Time_to_ID_s,SAM2_EntId,SAM2_Time_to_ID_s,SAM3_EntId,SAM3_Time_to_ID_s,SAM4_EntId,SAM4_Time_to_ID_s,SAM5_EntId,SAM5_Time_to_ID_s,SAM6_EntId,SAM6_Time_to_ID_s,SAM7_EntId,SAM7_Time_to_ID_s,SAM8_EntId,SAM8_Time_to_ID_s
2,Chan,1,B,HH,29.0,Y,5,8714.375071090433,10952.218357409804,150,2025-09-17 14:48:55.707,2,0,52.42833315759759,0.0,5,1.0,101,Wingman,149.608,43.7,189.367,39.36699999999999,125.21641856022116,155.98104331345786,-30.764624753236717,11019.213102234651,66.99474482484766,-10.494906142263185,0.8163775814627869,146.592782052346,102,Lead,206.406,130.981,204.533,54.53299999999999,87.81547447920778,84.06250850522338,3.752965973984402,9261.038232182982,546.6631610925488,1.0109182319750485,1.4949213453652406,157.63609429807937,106,Wingman,445.944,34.956,171.33,21.330000000000013,-119.89855329560902,-80.04212397079807,-39.85642932481096,10887.90411202732,64.31424538248393,21.47349448621731,0.48707937543033925,154.15677889720942,108.0,Lead,521.611,94.157,202.272,52.27199999999999,-42.23048680736154,-40.243748829057104,-1.9867379783044328,9192.09965472764,477.7245836372076,-1.0908010591859023,1.4997204427390238,136.22925079824853,107.0,Wingman,543.132,33.105,219.796,69.79599999999999,-99.43868776836136,-60.21743334817548,-39.221254420185886,11096.604440151808,144.38608274200487,-1.565430898689821,1.3715606351043577,50.542607057343794,2025-09-17 14:58:07.141,551.434,8,5.0,0.625,103,22.533,104,30.0,105,25.248,109,30.0,110,30.0,111.0,29.266,112.0,15.503,113.0,30.0
2,Chan,2,C,HH,25.0,Y,5,9260.064158607724,11112.292394974402,150,2025-09-17 15:03:09.298,2,0,133.06599838854876,0.0,5,1.0,115,Wingman,133.945,43.135,193.217,43.21700000000001,-102.19420278106128,-95.9992017060664,-6.195001074994877,11350.562876902928,238.27048192852635,46.93518515525257,0.6508893548621352,159.672840889286,116,Lead,139.889,52.359,208.834,58.834,-51.5320007855748,-60.13228523445537,8.600284448880558,8520.200306547718,739.8638520600052,-11.660135465453592,1.4936681293090146,172.8871241301412,117,Wingman,277.631,37.891,187.449,37.44900000000001,-125.54490968610313,-80.04423855181341,-45.50067113428972,10929.20884299331,183.08355198109166,2.444483931939902,0.7324693374723722,126.5418045940604,119.0,Lead,342.236,91.509,182.781,32.781000000000006,-69.21253774093158,-40.24261749900347,-28.969920241928094,9030.212441944032,229.85171666369206,17.993726667372503,1.4975963748355126,170.5790134109758,118.0,Wingman,367.754,35.995,201.82,51.81999999999999,-79.63754192128886,-60.21835332053888,-19.419188600749976,11141.882736283656,29.590341309254654,25.963304995922645,1.4824907726281549,43.134187670421895,2025-09-17 15:09:29.450,380.152,5,4.0,0.8,120,30.0,121,30.0,122,30.0,123,30.0,124,30.0,,,,,,
2,Chan,3,D,HH,22.0,Y,7,9196.85496766631,11171.809049041656,150,2025-09-17 15:13:31.489,2,4,143.34308465742015,32.47890238641294,3,0.42857142857142855,126,Wingman,168.03,65.289,194.94,44.94,-56.79965192139039,-96.02163001301652,39.22197809162611,11019.135616890622,152.67343215103392,-10.026817232350773,0.8863543712082925,176.56229696640042,130,Lead,383.587,48.741,215.018,65.018,81.60540232078597,84.099162443751,-2.4937601229650284,9226.673764252906,29.818796586596363,-24.985043649231997,1.4889960165629397,0.9773344522966244,136,Wingman,462.577,76.475,212.745,62.745000000000005,-56.32004477369543,-60.10732949305304,3.787284719357615,10840.708041466729,331.1010075749273,-2.104888935499152,1.4925417926675884,148.00100449826778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-17 15:21:45.164,493.675,7,7.0,1.0,128,20.171,129,16.178,131,6.276,133,13.172,134,18.493,137.0,30.0,138.0,30.0,,
