Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_MSL_ft,Wingman_Altitude_MSL_ft,CM_Airspeed_kt,Scenario_Start_Time,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Total_CMs_Intercepted,Proportion_CMs_Intercepted,CM1_EntId,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_MOP_Time_to_Consent_s,CM1_Airspeed_at_Intercept_kt,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_at_Intercept_deg,CM1_CM_Heading_at_Intercept_deg,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_at_Intercept_ft,CM1_Altitude_Offset_at_Intercept_ft,CM1_Bank_Angle_at_Intercept_deg,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_EntId,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_MOP_Time_to_Consent_s,CM2_Airspeed_at_Intercept_kt,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_at_Intercept_deg,CM2_CM_Heading_at_Intercept_deg,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_at_Intercept_ft,CM2_Altitude_Offset_at_Intercept_ft,CM2_Bank_Angle_at_Intercept_deg,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_EntId,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_MOP_Time_to_Consent_s,CM3_Airspeed_at_Intercept_kt,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_at_Intercept_deg,CM3_CM_Heading_at_Intercept_deg,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_at_Intercept_ft,CM3_Altitude_Offset_at_Intercept_ft,CM3_Bank_Angle_at_Intercept_deg,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_EntId,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_MOP_Time_to_Consent_s,CM4_Airspeed_at_Intercept_kt,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_at_Intercept_deg,CM4_CM_Heading_at_Intercept_deg,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_at_Intercept_ft,CM4_Altitude_Offset_at_Intercept_ft,CM4_Bank_Angle_at_Intercept_deg,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,CM5_EntId,CM5_Interceptor Role,CM5_Time_to_Intercept_s_from_start,CM5_MOP_Time_to_Intercept_s,CM5_MOP_Time_to_Consent_s,CM5_Airspeed_at_Intercept_kt,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_at_Intercept_deg,CM5_CM_Heading_at_Intercept_deg,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_at_Intercept_ft,CM5_Altitude_Offset_at_Intercept_ft,CM5_Bank_Angle_at_Intercept_deg,CM5_Distance_from_CM_at_Intercept_nm,CM5_Aspect_at_MELD_Range_deg,Scenario_End_Time,Scenario_Duration_s,Num_SAMs,SAMs_Identified_by_Lead,Proportion_SAMs_Identified,SAM1_EntId,SAM1_Time_to_ID_s,SAM2_EntId,SAM2_Time_to_ID_s,SAM3_EntId,SAM3_Time_to_ID_s,SAM4_EntId,SAM4_Time_to_ID_s,SAM5_EntId,SAM5_Time_to_ID_s,SAM6_EntId,SAM6_Time_to_ID_s,SAM7_EntId,SAM7_Time_to_ID_s
3,Grimmer,1,C,AH,13,Y,5,9006.830035856614,10864.345111209012,150,2025-09-22 17:13:46.429,0,4,0.0,4.921886559487305,5,1.0,102,Lead,137.43,76.574,2.543,159.122,9.122000000000014,144.45507561473875,119.93403606912636,24.521039545612382,8963.160204567335,43.66983128927859,-26.194445413807188,1.1174787651156155,167.77328104000856,101,Wingman,145.52,55.224,5.023,155.932,5.931999999999988,134.11164733010577,155.98048609144436,-21.868838761338594,11116.386028954556,252.040917745544,-32.6260406423072,1.2640981716199235,169.63440700259696,104,Wingman,303.499,34.8,3.3,190.027,40.02699999999999,147.09364379906984,119.98729311512288,27.10635068394697,11036.739564825535,172.3944536165236,-31.587370352994984,1.1445053082041678,101.35186407566465,105.0,Lead,365.594,37.11,2.378,199.535,49.535,74.00579780935698,100.07471956500616,-26.06892175564917,9048.644897184193,41.81486132757891,5.420110380414816,1.512639431279399,49.9785893514136,103.0,Lead,433.398,32.249,3.45,197.641,47.64099999999999,102.7541969147872,140.03008160484103,-37.27588469005383,8918.821252071113,88.00878378550078,18.982767644518283,1.2573556308593334,78.0920141097526,2025-09-22 17:20:59.827,433.398,7,6,0.8571428571428571,106,19.304,107,12.027,108,11.258,109,11.471,110,6.746,111,12.425,112.0,30.0
3,Grimmer,2,C,AA,5,Y,5,9351.585978208032,10940.833293995036,150,2025-09-22 17:25:49.431,6,0,11.97720118151131,0.0,4,0.8,115,Wingman,149.832,41.228,1.339,170.352,20.352000000000004,165.49937644428437,155.9809106439419,9.518465800342454,10906.173076899517,34.66021709551933,-47.75737958999295,0.5728688381260381,145.696563752345,116,Lead,167.419,76.168,0.237,159.403,9.402999999999992,146.5278166833416,119.95366197649284,26.57415470684876,8937.019299968888,414.5666782391436,-20.74364963696289,1.0284311872481613,166.55606353861975,118,Lead,336.927,76.814,1.215,177.599,27.59899999999999,143.97440592712127,120.00885841193777,23.965547515183516,8918.914605707061,432.6713725009704,-2.653454280604368,1.0848322460003512,167.45695573092326,119.0,Lead,402.719,57.441,7.344,165.623,15.62299999999999,81.05781736001298,100.09556722533908,-19.037749865326106,8849.55133572088,502.03464248715136,-11.268840354953072,0.6512046238823885,44.07160748042634,,,,,,,,,,,,,,,,2025-09-22 17:32:32.150,402.719,6,6,1.0,120,12.371,121,9.425,122,9.26,123,16.358,124,8.354,125,9.354,,
3,Grimmer,3,D,AA,5,Y,6,9140.793540731764,11002.764919195506,150,2025-09-22 17:37:15.237,0,0,0.0,0.0,3,0.5,126,Wingman,167.012,58.016,0.922,198.533,48.53299999999999,-68.6648605638782,-96.0268834001172,27.36202283623902,11020.431746286602,17.66682709109591,-1.6899156283327412,1.0679651401273698,155.32351101872536,127,Lead,281.422,46.167,7.868,179.322,29.322000000000003,95.50155454746957,100.01645770621045,-4.5149031587408786,8867.68275147682,273.1107892549444,-17.019804277017066,0.8090648576151167,139.09411684628276,130,Wingman,379.196,59.904,0.297,202.064,52.06399999999999,54.866344612373375,84.08654440758193,-29.220199795208543,10988.020748837658,14.744170357847906,7.856048296027687,0.7633030536843181,156.50347361345564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-22 17:44:14.746,419.509,6,8,1.3333333333333333,128,4.059,129,12.36,131,9.363,132,8.374,134,11.353,137,10.342,,
