Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_MSL_ft,Wingman_Altitude_MSL_ft,CM_Airspeed_kt,Scenario_Start_Time,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Total_CMs_Intercepted,Proportion_CMs_Intercepted,CM1_EntId,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_MOP_Time_to_Consent_s,CM1_Airspeed_at_Intercept_kt,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_at_Intercept_deg,CM1_CM_Heading_at_Intercept_deg,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_at_Intercept_ft,CM1_Altitude_Offset_at_Intercept_ft,CM1_Bank_Angle_at_Intercept_deg,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_EntId,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_MOP_Time_to_Consent_s,CM2_Airspeed_at_Intercept_kt,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_at_Intercept_deg,CM2_CM_Heading_at_Intercept_deg,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_at_Intercept_ft,CM2_Altitude_Offset_at_Intercept_ft,CM2_Bank_Angle_at_Intercept_deg,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_EntId,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_MOP_Time_to_Consent_s,CM3_Airspeed_at_Intercept_kt,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_at_Intercept_deg,CM3_CM_Heading_at_Intercept_deg,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_at_Intercept_ft,CM3_Altitude_Offset_at_Intercept_ft,CM3_Bank_Angle_at_Intercept_deg,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_EntId,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_MOP_Time_to_Consent_s,CM4_Airspeed_at_Intercept_kt,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_at_Intercept_deg,CM4_CM_Heading_at_Intercept_deg,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_at_Intercept_ft,CM4_Altitude_Offset_at_Intercept_ft,CM4_Bank_Angle_at_Intercept_deg,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,Scenario_End_Time,Scenario_Duration_s,Num_SAMs,SAMs_Identified_by_Lead,Proportion_SAMs_Identified,SAM1_EntId,SAM1_Time_to_ID_s,SAM2_EntId,SAM2_Time_to_ID_s,SAM3_EntId,SAM3_Time_to_ID_s,SAM4_EntId,SAM4_Time_to_ID_s,SAM5_EntId,SAM5_Time_to_ID_s,SAM6_EntId,SAM6_Time_to_ID_s,SAM7_EntId,SAM7_Time_to_ID_s
1,Fleischmann,1,C,HH,21,Y,5,10094.22773008973,12108.22360793471,150,2025-09-22 16:23:48.431,3,5,1614.5165197805359,1.7905609976362538,4,0.8,101,Wingman,145.72,72.403,27.923,174.776,24.77600000000001,166.3735508723738,155.97934266954195,10.394208202831862,12299.494000476036,191.27039254132615,-4.228680385332342,0.650416766624844,142.60020815531118,103,Lead,418.503,238.984,5.95,191.604,41.60400000000001,131.1658134077632,140.01329180921235,-8.847478401449138,11296.2094201352,1201.9816900454698,-1.810148964392969,1.3825718061291563,63.5704353289799,104.0,Wingman,449.005,104.215,21.906,189.05,39.05000000000001,120.00948413460472,120.0710574608951,-0.06157332629038592,12061.958950058332,46.264657876377896,9.079054018704268,0.48352974154634715,147.28976341595273,105.0,Wingman,476.409,49.31,94.413,198.581,48.58099999999999,-1.3673477555100924,100.1504543103874,-101.5178020658975,11801.226356626074,306.9972513086359,76.3380636231055,1.0918915763673613,18.06038023945152,2025-09-22 16:31:44.840,476.409,7,1,0.14285714285714285,106,30,107,30,108,30,109,30.0,110,30,111,30,112.0,30.0
1,Fleischmann,2,C,HA,5,Y,5,10033.677516021671,11963.558957041,150,2025-09-22 16:38:22.993,1,0,10.966582642175817,0.0,3,0.6,115,Wingman,141.147,37.421,5.612,172.87,22.870000000000005,151.3809276925541,119.93744054007011,31.44348715248401,12033.07963917378,69.52068213278108,-40.73412469567822,0.6401643652542383,137.95929056349877,117,Wingman,348.33,76.507,14.821,142.233,-7.766999999999996,136.9363606647441,120.0112636468974,16.925097017846667,11987.409602061489,23.850645020489537,-10.1116730389666,0.9008442061608848,143.2623849586995,116.0,Lead,471.022,43.728,2.963,215.165,65.16499999999999,178.39928107868832,140.0337494031311,38.36553167555721,9763.096237459882,270.5812785617891,-3.791642123105228,0.8389496880210217,98.75069118028898,,,,,,,,,,,,,,,,2025-09-22 16:46:20.713,477.72,7,1,0.14285714285714285,119,30,120,30,121,30,122,21.789,123,30,124,30,125.0,30.0
1,Fleischmann,3,D,HA,3,Y,6,10914.903477918164,12878.403777491774,150,2025-09-22 16:51:53.179,4,0,38.95922905997985,0.0,2,0.3333333333333333,127,Wingman,276.047,63.202,22.206,152.12,2.1200000000000045,108.30011747685045,100.0094603813288,8.290657095521652,12995.51248535451,117.10870786273517,18.97027090457769,0.4583628934460906,126.83768140131923,126,Lead,276.609,96.147,14.545,205.498,55.49799999999999,-113.58759381247442,-96.108099071539,-17.479494740935422,11027.630463912596,112.72698599443174,7.942405043630436,1.168949487219844,175.6427162028387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-22 16:58:15.119,381.94,6,0,0.0,128,30,129,30,131,30,132,30.0,134,30,137,30,,
