Subject,Timestamp,SampleDate,SampleTime,TestCard,DisSource,DisTime,MarkingTxt,Aplication,EntId,Site,ExersiseId,ForceId,Category,Country,Domain,Kind,Extra,Specific,Subcategory,AltCategory,AltCountry,AltDomain,AltKind,EcefX,EcefY,EcefZ,OriPhi,OriPsi,OriTheta,LinVelX,LinVelY,LinVelZ,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,DrAlg,Apperance,Latitude,Longitude,Altitude,Heading,Pitch,Roll
613,17498312731192477,2025-06-13,16:14:33.119,NA,coresim,540242924,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.75192754049,-4772182.170542794,4215813.791174112,-2.32088,-0.274391,0.223621,0.093338,-0.38193,-0.00156695,-0.181338,-7.07254,6.77337,-0.00694398,-0.00276823,-0.00999206,4,0,41.63858011324723,-91.54053756424757,624.1811691748977,108.94217395358459,1.7870751838371843,0.5601757906808188
613,17498312735868087,2025-06-13,16:14:33.586,NA,coresim,540799658,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.77761001792,-4772182.071240453,4215813.91237832,-2.32178,-0.275334,0.222464,0.0824053,-0.334571,0.0559725,-0.179526,-7.06398,6.78288,-0.00220855,-0.000444207,0.00107463,4,0,41.63858151848223,-91.54053790441468,624.2036783897563,108.93041015475363,1.8709572827060454,0.5204608605016412
613,17498312740193476,2025-06-13,16:14:34.019,NA,coresim,541316624,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.73808269075,-4772182.10953801,4215813.817857279,-2.32138,-0.274538,0.222727,0.0940883,-0.240983,-0.0882484,-0.218546,-7.06267,6.78069,-0.00307616,-0.00536273,-0.0069856,4,0,41.638580659821024,-91.5405374178275,624.0888969212152,108.91065114880122,1.8283127995189867,0.5324497916137543
613,17498312741526006,2025-06-13,16:14:34.152,NA,coresim,541475690,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.72748056146,-4772182.204442064,4215813.866359309,-2.32153,-0.27335,0.222533,0.06495,-1.18263,0.815808,-0.218546,-7.06267,6.78069,-0.00307616,-0.00536273,-0.0069856,4,0,41.638580420359844,-91.54053726000642,624.4265417990176,108.85688962401005,1.7878322061319203,0.5072479365327547
613,17498312744863017,2025-06-13,16:14:34.486,NA,coresim,541873356,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.75964744623,-4772181.9138624165,4215813.999818627,-2.32399,-0.275431,0.221144,0.0760886,-0.278965,0.111992,-0.211499,-7.05973,6.78034,0.00316563,0.00299085,0.000198697,4,0,41.638583050839365,-91.54053773968799,624.0073625391094,108.87933839404255,1.9269721070864998,0.3933359186533296
613,17498312749525914,2025-06-13,16:14:34.952,NA,coresim,542430088,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.71856430286,-4772181.959154757,4215813.956969989,-2.32413,-0.275581,0.222856,0.0869918,-0.297421,0.0938119,-0.217438,-7.07374,6.80123,-0.00431411,0.000956033,-0.00266628,4,0,41.638582498286645,-91.54053723217794,624.022263095787,108.95623414462538,1.8654430128974204,0.38985679819394453
613,17498312754195550,2025-06-13,16:14:35.419,NA,coresim,542986822,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.83683201336,-4772181.8769007865,4215814.051011819,-2.32453,-0.276229,0.220792,0.0372411,-0.261091,0.133993,-0.179474,-7.05767,6.78698,0.00410189,-0.000179971,-0.00573516,4,0,41.63858360391675,-91.54053867763777,624.0334509324578,108.89542490850805,1.973174326615296,0.3727620963871559
613,17498312758525609,2025-06-13,16:14:35.852,NA,coresim,543503788,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.8163279229,-4772181.871016984,4215813.990384411,-2.32431,-0.276645,0.221641,0.0470089,-0.157742,0.000691302,-0.206477,-7.07983,6.78273,-0.000789586,-0.00328838,0.00776166,4,0,41.63858323445715,-91.54053843353792,623.8855169091703,108.9467401563299,1.9565254426626826,0.3922693081202474
613,17498312763193757,2025-06-13,16:14:36.319,NA,coresim,544060520,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.82449167209,-4772181.912489183,4215813.914648089,-2.32358,-0.277422,0.222543,0.0428042,-0.176544,-0.0230357,-0.203782,-7.06888,6.77575,-0.00121195,0.000897777,-0.00219191,4,0,41.638582475538094,-91.54053851810124,623.8226089302644,109.01415848438262,1.9523487523388747,0.44647316529569964
613,17498312767858329,2025-06-13,16:14:36.785,NA,coresim,544617254,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.80456620982,-4772181.952766063,4215813.8496297095,-2.32269,-0.277944,0.222122,0.0451315,-0.197288,-0.0455744,-0.214823,-7.0788,6.7795,0.00163639,0.000236148,0.000581526,4,0,41.638581800401916,-91.54053826604925,623.7782834742308,109.01680544451958,1.9901500492614068,0.5042288420338625
