Subject,Timestamp,SampleDate,SampleTime,TestCard,ITPV,LogWorkload
13,17498321719811572,2025-06-13,16:29:31.981,NA,357.3568907557147,8.481221797170054
13,17498321724971572,2025-06-13,16:29:32.497,NA,127.8027302489398,6.997774846674124
13,17498321730151572,2025-06-13,16:29:33.015,NA,628.8978699751187,9.296681939083369
13,17498321735411572,2025-06-13,16:29:33.541,NA,553.274011995631,9.111850349872913
13,17498321740671572,2025-06-13,16:29:34.067,NA,399.1021893129886,8.640614382686373
13,17498321745851572,2025-06-13,16:29:34.585,NA,2620.8699938526543,11.35583007637655
13,17498321751031572,2025-06-13,16:29:35.103,NA,304.5308033424715,8.250444354135569
13,17498321756271572,2025-06-13,16:29:35.627,NA,634.0942895839933,9.30855357430478
13,17498321761471572,2025-06-13,16:29:36.147,NA,1390.3450548049561,10.441227259033832
13,17498321766631572,2025-06-13,16:29:36.663,NA,5498.42102669057,12.424801666206017
13,17498321771871572,2025-06-13,16:29:37.187,NA,5759.740793037438,12.491788171848087
13,17498321777151572,2025-06-13,16:29:37.715,NA,6736.8822333437565,12.717865364623181
13,17498321782211572,2025-06-13,16:29:38.221,NA,618.6038855629926,9.272872085059088
13,17498321787491572,2025-06-13,16:29:38.749,NA,758.752336936775,9.567485244611781
13,17498321792711572,2025-06-13,16:29:39.271,NA,1874.773832260594,10.872500847867032
13,17498321798011572,2025-06-13,16:29:39.801,NA,111.79904296956624,6.8047640281439286
13,17498321803191572,2025-06-13,16:29:40.319,NA,977.6093164605401,9.93311422365004
13,17498321808371572,2025-06-13,16:29:40.837,NA,4812.349522058573,12.2325257142559
13,17498321813611572,2025-06-13,16:29:41.361,NA,982.9190216380485,9.940928753956545
13,17498321818871572,2025-06-13,16:29:41.887,NA,4551.489136709536,12.152122921986708
13,17498321824211572,2025-06-13,16:29:42.421,NA,4536.10546773829,12.147238469037049
13,17498321829531572,2025-06-13,16:29:42.953,NA,2621.7125971779965,11.356293824778513
13,17498321834831572,2025-06-13,16:29:43.483,NA,2223.2400903963844,11.118448039828928
13,17498321840071572,2025-06-13,16:29:44.007,NA,3801.503630296141,11.892354453455466
13,17498321845351572,2025-06-13,16:29:44.535,NA,589.1553189413913,9.202504211482577
13,17498321850651572,2025-06-13,16:29:45.065,NA,420.5534924296735,8.716145505962086
13,17498321855911572,2025-06-13,16:29:45.591,NA,6910.8279110531685,12.754642839215192
13,17498321861191572,2025-06-13,16:29:46.119,NA,1436.3437989784456,10.488185394349749
13,17498321866431572,2025-06-13,16:29:46.643,NA,333.4795830624486,8.381454626398302
13,17498321871691572,2025-06-13,16:29:47.169,NA,464.13632987356544,8.858404817420919
13,17498321876911572,2025-06-13,16:29:47.691,NA,1220.9125157902963,10.253744112704627
13,17498321882131572,2025-06-13,16:29:48.213,NA,826.0491559733279,9.69008382489265
13,17498321887431572,2025-06-13,16:29:48.743,NA,1331.289267791518,10.37860836445133
13,17498321892671572,2025-06-13,16:29:49.267,NA,2955.5581608067937,11.529214895534071
13,17498321897891572,2025-06-13,16:29:49.789,NA,1118.1126711589902,10.126849859186697
13,17498321902971572,2025-06-13,16:29:50.297,tag3,341.4500397499182,8.4155306916345
13,17498321907971572,2025-06-13,16:29:50.797,tag3,608.586439655835,9.249318378278513
13,17498321913211572,2025-06-13,16:29:51.321,tag3,24634.21399934384,14.588375820051217
13,17498321918331572,2025-06-13,16:29:51.833,tag3,262719.2075739815,18.00316215514716
13,17498321923431572,2025-06-13,16:29:52.343,tag3,390702.17248435563,18.57570975203081
13,17498321928551572,2025-06-13,16:29:52.855,tag3,471786.29774784285,18.84777399293301
13,17498321933731572,2025-06-13,16:29:53.373,tag3,114993.09433739069,16.81118770026437
13,17498321938891572,2025-06-13,16:29:53.889,tag3,436087.49913208716,18.734258109207083
