Configuration,Proportion_SAMs_Identified_mean,Proportion_SAMs_Identified_std,Avg_SAM_ID_Time_s_mean,Avg_SAM_ID_Time_s_std,Lead_Altitude_Deviation_Count_mean,Lead_Altitude_Deviation_Count_std,Wingman_Altitude_Deviation_Count_mean,Wingman_Altitude_Deviation_Count_std,Lead_Altitude_Deviation_Integrated_ft_s_mean,Lead_Altitude_Deviation_Integrated_ft_s_std,Wingman_Altitude_Deviation_Integrated_ft_s_mean,Wingman_Altitude_Deviation_Integrated_ft_s_std,Proportion_CMs_Intercepted_mean,Proportion_CMs_Intercepted_std,Avg_Time_to_Intercept_s_mean,Avg_Time_to_Intercept_s_std,Avg_Time_to_Consent_s_mean,Avg_Time_to_Consent_s_std,Avg_Airspeed_Diff_at_Intercept_kt_mean,Avg_Airspeed_Diff_at_Intercept_kt_std,Avg_Heading_Diff_at_Intercept_deg_mean,Avg_Heading_Diff_at_Intercept_deg_std,Avg_Altitude_Offset_at_Intercept_ft_mean,Avg_Altitude_Offset_at_Intercept_ft_std,Avg_Distance_from_CM_at_Intercept_nm_mean,Avg_Distance_from_CM_at_Intercept_nm_std,Avg_Aspect_at_MELD_Range_deg_mean,Avg_Aspect_at_MELD_Range_deg_std,Num_Tactical_Comms_mean,Num_Tactical_Comms_std,Correct_Acquisition_mean,Correct_Acquisition_std,Scenario_Duration_s_mean,Scenario_Duration_s_std,Proportion_Intercepted_by_Lead_mean,Proportion_Intercepted_by_Lead_std,Percent_CMs_Intercepted_mean,Percent_CMs_Intercepted_std,Percent_SAMs_Identified_mean,Percent_SAMs_Identified_std,Lead_Avg_Time_to_Intercept_s_mean,Lead_Avg_Time_to_Intercept_s_std,Wing_Avg_Time_to_Intercept_s_mean,Wing_Avg_Time_to_Intercept_s_std,Lead_Avg_Time_to_Consent_s_mean,Lead_Avg_Time_to_Consent_s_std,Wing_Avg_Time_to_Consent_s_mean,Wing_Avg_Time_to_Consent_s_std,Lead_Avg_Airspeed_Diff_at_Intercept_kt_mean,Lead_Avg_Airspeed_Diff_at_Intercept_kt_std,Wing_Avg_Airspeed_Diff_at_Intercept_kt_mean,Wing_Avg_Airspeed_Diff_at_Intercept_kt_std,Lead_Avg_Heading_Diff_at_Intercept_deg_mean,Lead_Avg_Heading_Diff_at_Intercept_deg_std,Wing_Avg_Heading_Diff_at_Intercept_deg_mean,Wing_Avg_Heading_Diff_at_Intercept_deg_std,Lead_Avg_Altitude_Offset_at_Intercept_ft_mean,Lead_Avg_Altitude_Offset_at_Intercept_ft_std,Wing_Avg_Altitude_Offset_at_Intercept_ft_mean,Wing_Avg_Altitude_Offset_at_Intercept_ft_std
AA,0.8126984126984126,0.20462035220416178,19.806267460317436,4.121454074170697,1.1428571428571428,2.0354009783964297,0.09523809523809523,0.25197631533948484,8.841300336052822,20.870830093736913,0.8970716495480068,2.373428492910514,0.8857142857142858,0.1069044967649697,60.58731785714286,7.5119694230651275,4.859846428571429,2.211630472563764,20.688054166666642,10.488562885572268,7.039731555404836,6.906349576938329,159.21238577110398,114.45702628778245,0.796913443098929,0.06445217962029652,128.52131684191974,11.67788789154307,6.285714285714286,2.7516228977511745,1.0,0.0,398.112,15.396738323424223,0.4857142857142857,0.15735915849388862,88.57142857142857,10.690449676496975,81.26984126984125,20.46203522041618,60.54166666666667,19.615068624373688,51.83711111111111,13.365324794933871,4.174166666666666,0.8604175020173509,4.796083333333333,4.582566272479501,6.831642857142847,44.23891930299112,17.929805555555507,12.18108820782657,15.44440348487335,10.211384619558693,-1.024970108080528,12.560664744843269,189.40179117494174,150.49387556777646,85.74190745416536,67.44169538267793
AH,0.8843537414965985,0.18464720473659815,17.113064625850317,5.612245152543782,0.14285714285714285,0.37796447300922725,3.0,5.131601439446884,3.1596221419545145,8.359574424544867,13.96368905381637,27.359178099140763,0.9428571428571428,0.0975900072948533,60.50154285714286,9.994087545495274,7.966292857142856,7.538664539250777,27.16199999999997,6.627228258291681,7.846923686257461,13.100015973421963,137.74556664987492,81.15004866187479,0.9638448679097337,0.22306381993524776,130.89595182230642,13.395631543464223,17.857142857142858,5.899959644736887,1.0,0.0,418.7402857142857,8.134215567881265,0.42857142857142855,0.13801311186847084,94.28571428571429,9.759000729485335,88.43537414965986,18.464720473659813,77.32354761904762,34.28650147149402,51.63061904761905,7.267875158629831,15.874404761904762,27.125722652578368,5.167238095238096,1.8414452201130633,25.504071428571383,11.216008403937435,28.12099999999998,11.665941191332548,12.019416543745704,18.89551542115378,6.441743062464068,13.030690336240932,130.021012575691,102.26680426196542,159.16017476759995,125.88830353180823
HA,0.5654761904761901,0.3568053961236406,21.904874999999986,6.763738680918248,2.4166666666666665,1.8551729479125838,0.0,0.0,62.940534234685934,74.64947798427914,0.0,0.0,0.8666666666666667,0.16329931618554522,60.14571609980638,11.560515424212232,6.587227830369123,4.809899916374015,31.071296175272135,17.926803572540567,1.0887939596531506,19.499875604027626,174.91819960498648,61.30391171689099,0.5994430493774422,0.31577822476856493,128.02326555679647,11.024138587388837,5.833333333333333,1.1690451944500122,1.0,0.0,415.63975,41.35976933657876,0.39999999999999997,0.17888543819998315,86.66666666666667,16.329931618554518,56.547619047619015,35.68053961236406,58.935867110788415,13.498415363458628,61.003055555555555,18.67406700351725,3.695173698763354,2.243012276097174,9.925083333333333,9.118043026969476,24.049675243433523,41.573501634032894,13.428694444444432,39.122543793745294,-3.1664460994271018,31.421680696948556,-0.5356910826935746,22.785418057656788,251.93330496712542,127.90602701791495,110.29757745734283,79.63176363197088
HH,0.6210884353741494,0.339120479317448,20.26646235827662,7.0709426072780905,1.9047619047619047,1.1818736805705579,2.0952380952380953,2.4848748810761427,306.25418511387176,583.6451248949282,26.968549392373856,48.28202962870646,0.8761904761904761,0.15118578920369088,71.69316428571429,22.719291632712977,12.429404761904763,12.350088661957626,31.849159523809494,12.536596598318399,-6.189085337317051,12.115141721858564,234.85115340992314,113.71483832163807,0.8154953131875776,0.200986152985013,133.08709823206806,20.628289959159375,18.38095238095238,4.138476063357637,1.0,0.0,412.65364285714287,41.61283083448569,0.3714285714285714,0.24299715851758236,87.61904761904762,15.118578920369089,62.10884353741494,33.912047931744794,87.99286111111111,75.56617822606565,71.82222222222222,13.435520053064426,9.328805555555556,13.716766331114902,14.821694444444445,17.075849183184182,37.65808333333329,19.821450512498945,23.336416666666647,15.18076642141848,-11.616558870202526,11.354961497996497,-4.614103884188466,19.21972272190957,434.0566661706409,411.9982333628104,117.87451760714596,62.55817765249337
